username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Tarnjit Kaur Parmar,68551737,Vancouver,2023-01-21 04:24:35,"Balu Thakor, a pioneer of the Punjabi Market in Vancouver, dies at 84. 

“This was a safe enclave where people went… https://t.co/mNAAFDamf2",0,Twitter for iPhone,
Canucks For Kids Fund,525675430,"Vancouver, BC",2023-01-21 01:04:29,"Give your feelings a place to go with @kidshelpphone. 

Youth can text TALK to 686868 and adults text WELLNESS to 7… https://t.co/C6P82vmku7",3,Twitter Web App,
Vancouver Canucks,17093604,"Vancouver, BC",2023-01-20 22:00:02,"Give your feelings a place to go with @kidshelpphone.

Youth can text TALK to 686868 and adults text WELLNESS to 74… https://t.co/NYmcJXWPsX",6,Twitter Web App,
RichmondSportHosting,326909808,"Richmond, BC",2023-01-20 19:26:46,The Western Canada Age Class Wrestling Championships are taking place this weekend at the @RichmondOval!!! 🤼‍♀️🏆… https://t.co/FLjiNDl57d,1,Twitter for iPhone,
Miles Lunn 🇨🇦🇺🇦,902966850421571584,"Vancouver, British Columbia",2023-01-20 17:37:32,@allsystemsjo @hawkbox @GordDawg @aleksic Which Canada does on balance.  Our taxes on top earners actually some of… https://t.co/jBB89VMadr,0,Twitter Web App,
Steve Saretsky,123730261,"Vancouver, BC",2023-01-20 17:05:09,Bank of Canada rate announcement next week. Place your Twinkie bets.,2,Twitter for iPhone,
The Answer Company,36311706,"Vancouver, BC",2023-01-20 17:01:29,The Canadian Small and Medium Business Awards are taking place in May 2023. We're proud partners with #CanadianSME… https://t.co/pHoSSu6a3r,0,Hootsuite Inc.,
Michael,2162267258,"Vancouver, BC",2023-01-20 16:50:54,"@DrJacobsRad @OPSEU Unions in Canada, in 2023 are completely unnecessary. 

In the early 20th century when there wa… https://t.co/WkJIR52twF",0,Twitter Web App,
StanleyParkVan.com,3189389365,"Vancouver, British Columbia",2023-01-20 15:34:09,"The largest Polar Bear Swim in the world takes place annually in Vancouver, Canada on New Years Day!

Details/Photo… https://t.co/KHjkgx5Zhj",0,Greatly Social Twitter,
Richmond News,215079163,"Richmond, BC, Canada",2023-01-20 14:00:11,Megaproject contracts in place will provide more than $5 billion for B.C. businesses https://t.co/xl6ugwXS4o,0,SocialNewsDesk,
Burnaby NOW News,28417035,"Burnaby, B.C.",2023-01-20 14:00:11,Megaproject contracts in place will provide more than $5 billion for B.C. businesses https://t.co/tub1lMtJyR,0,SocialNewsDesk,
North Shore News,19045811,"North Vancouver, B.C.",2023-01-20 14:00:09,Megaproject contracts in place will provide more than $5 billion for B.C. businesses https://t.co/KhqxnUcwWQ,0,SocialNewsDesk,
The Record,28436861,New Westminster,2023-01-20 14:00:07,Megaproject contracts in place will provide more than $5 billion for B.C. businesses https://t.co/dA9lRha1ku,0,SocialNewsDesk,
Jerome Collins,21672026,"English Bay, Vancouver",2023-01-20 13:07:19,"And I cannot believe you're still in Canada. You seem to hate the place, since you haven't had a single damned nice… https://t.co/rqVF4bxk99",0,Twitter Web App,
Miles Lunn 🇨🇦🇺🇦,902966850421571584,"Vancouver, British Columbia",2023-01-20 03:15:31,@kinsellawarren Don't you know it's the centre of the universe and everything revolves around it and only place that matters in Canada lol.,0,Twitter Web App,
604 Now | Vancouver,121004223,"Vancouver, British Columbia",2023-01-20 00:30:01,"If you stand outside Canada Place in #VancouverBC and face north, you can see this fantastic view for yourself! 😍🌆… https://t.co/m7XwKN4a8e",13,Buffer,
CBC British Columbia,17138582,"Vancouver, British Columbia",2023-01-19 20:03:00,"How did a former nightclub become the hottest place for pro wrestling?
https://t.co/jTogdQ6UUJ",0,Buffer,
CHFCA,88996544,"Vancouver, BC",2023-01-19 17:02:22,"Funding of more than $9.74 million through PrairiesCan will support more than 1,600 jobs and ensure Alberta continu… https://t.co/4WDz2xLxzp",1,LaterMedia,
StanleyParkVan.com,3189389365,"Vancouver, British Columbia",2023-01-19 15:34:07,"The largest Polar Bear Swim in the world takes place annually in Vancouver, Canada on New Years Day!

Details/Photo… https://t.co/9xYZMfuEiJ",0,Greatly Social Twitter,
Syntheticus Canadianensis 🌐🧦🥑🏛️🏙🚄,1309229775148298240,"Vancouver, British Columbia",2023-01-19 06:33:45,@MDNOShaughnessy That’s burrard inland looking towards the north shore with Canada place on the right. You’re over coal harbour,0,Twitter for iPhone,
Donna-Marie Gurr,119159833,Vancouver Canada,2023-01-19 04:40:57,"@danb1a @RossKneeDeep Here in Canada, we do have a system in place, called M.A.I.D. which stands for medically assi… https://t.co/oTNy3Ulhuq",0,Twitter Web App,
The Brown Investor,1553794952777195520,"Vancouver, British Columbia",2023-01-19 02:20:05,@Drmchsr66 @Blind__Luck No well here in BC Canada no insurance company would honour it. I was lucky I left the plac… https://t.co/Ak3ORtLabs,0,Twitter for iPhone,
Jenn,20377896,"North Vancouver, BC",2023-01-19 00:31:34,"Talk about being in the right place at the right time! 

https://t.co/vnHedZt4P2",0,Twitter for iPhone,
GLOBENet,33918760,Vancouver BC Canada,2023-01-18 22:14:46,"A new analysis from the PLACE Centre, an initiative of the Ottawa-based Smart Prosperity Institute, confirms that e… https://t.co/EVcP36KZMo",0,LinkedIn,
Figure 1 Publishing,1436666898,"Vancouver, BC, Canada",2023-01-18 17:22:38,"The exhibition ""Many Lives Mark This Place"" by artist John Hartman will be exhibited at Canada House, home of the H… https://t.co/xgglrOKJsW",0,Twitter Web App,
StanleyParkVan.com,3189389365,"Vancouver, British Columbia",2023-01-18 15:34:07,"The largest Polar Bear Swim in the world takes place annually in Vancouver, Canada on New Years Day!

Details/Photo… https://t.co/q7hK6r41Fc",0,Greatly Social Twitter,
Damien Darkside,739930994384338945,Vancouver,2023-01-18 11:19:54,"I'm flipping a post office in Riverside in #ProjectZomboid for #Youtube. We're in creative, so let's get busy overh… https://t.co/U94F9THEnb",1,Streamlabs Twitter,
Charles Lindsay,14073403,"Vancouver, BC",2023-01-18 05:30:35,"@lithohedron #StevenVirag I buy it regularly, the big bottles from Costco.  We use it to flavour beef, in stews and… https://t.co/cgzujlyaPM",0,Twitter Web App,
Karm Sumal,2480097044,Vancouver,2023-01-17 21:28:04,@DowntownCharles @thiscitylifeyvr @ParkBoard @downtownvan @iamkennethchan @CityofVancouver 100% I think… https://t.co/iaFvDVYUff,0,Twitter Web App,
AlluringAllie (Alice) Mackey,803378728663449602,"Vancouver, British Columbia",2023-01-17 19:08:38,"I was curious so I looked up current renting prices. It is clear to me that if I lose my apartment for any reason,… https://t.co/O4hxqZJOV5",0,Twitter Web App,
